PartID;Response;text;S.Fluency;S.Flex;K.Fluency;K.Flex;Response;text
4886552;tiirikka ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;1;tiirikka ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;hiuspidike ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;1;hiuspidike ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;koukku jollekin kevyelle esineelle ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;1;koukku jollekin kevyelle esineelle ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;auki taitettuna reikien tekemiseen sopiva työkalu;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;1;auki taitettuna reikien tekemiseen sopiva työkalu;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;auki taitettuna tilapäisnaula ;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;0;tilapäisnaula tai orsi kuivatuille lehdille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;auki taitettuna orsi kuivatuille lehdille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**;1;1;1;1;orsi kuivatuille lehdille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
4886552;Istuin, kun se on tuettu kahden tuen väliin (riuku);Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;Istuin, kun se on tuettu kahden tuen väliin (riuku);Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;Ovistoppari saranapuolelle pystyyn laitettuna tai oven väliin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;Ovistoppari saranapuolelle pystyyn laitettuna tai oven väliin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;polttopuu;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;polttopuu;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;luiska, jota pitkin koira voi kiivetä johonkin korkealle;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;luiska, jota pitkin koira voi kiivetä johonkin korkealle;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;este muurahaisten kulkureitille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;este muurahaisten kulkureitille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;pyykinkuivatusteline vaakatasoon tukien varaan viritettynä;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;pyykinkuivatusteline vaakatasoon tukien varaan viritettynä;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;tuki jolla kammeta ovi kiinni;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**;1;1;1;1;tuki jolla kammeta ovi kiinni;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
4886552;Vessapaperi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Vessapaperi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Käärepaperi lahjoille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Käärepaperi lahjoille;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Pakkauspaperi muutettaessa;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;0;1;0;Pakkauspaperi muutettaessa;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Askarteluun sopiva materiaali, voi leikata kuvia tai tekstipätkiä irti tai taitella paperiruusuiksi tai muiksi paperijutuiksi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Askarteluun sopiva materiaali, voi leikata kuvia tai tekstipätkiä irti tai taitella paperiruusuiksi tai muiksi paperijutuiksi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Tiiviste ikkunoihin tai hirsiseiniin tai eriste seinien väliin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Tiiviste ikkunoihin tai hirsiseiniin tai eriste seinien väliin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Pultsarin peitto;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Pultsarin peitto;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Sateensuoja;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Sateensuoja;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Barbien teltta;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;Barbien teltta;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;tuulenilmaisin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**;1;1;1;1;tuulenilmaisin;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
4886552;Pullonavaaja;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;Pullonavaaja;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;Vasara;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;Vasara;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;pientavaran kuten silmälasien säilytyspussi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;pientavaran kuten silmälasien säilytyspussi;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;kivienkeräilyastia;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;0;1;0;kivienkeräilyastia;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;vedenkantoväline;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;0;1;0;vedenkantoväline;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;juoma-astia;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;juoma-astia;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;Tyyny;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;Tyyny;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
4886552;Koiranpennun peti;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**;1;1;1;1;Koiranpennun peti;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **kenkä**
