Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;rp-1;rp-1-text;rp-1-quantised;rp-2-1;rp-2-2;rp-2-3;rp-2-4;rp-2-5;rp-2-6;rp-2-7;rp-2-8;rp-2-text;rp-2-other;rp-3;rp-3-text;rp-3-quantised;rp-4;rp-4-text;rp-4-quantised;END QUESTIONNAIRE
1;1642100520529;13/01/2022 19:02:00;1642100520249;2;13/01/2022 21:02:00;55551;24;questionnaire-otb8;;18500269;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Randomness and probability (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Sairaalassa B (jossa syntyy 10 lasta päivässä).;;2;;;;;Pyydys 5;Pyydys 6;;;;;Kanava 2;;5;"Ruudukot A; B ja C";;5;141454
1;1642150520623;14/01/2022 08:55:20;1642150519790;2;14/01/2022 10:55:19;55551;24;questionnaire-otb8;;18507122;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Randomness and probability (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Tämä on yhtä todennäköistä kummassakin sairaalassa.;;3;Pyydys 1;Pyydys 2;;;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;185849
1;1642175355851;14/01/2022 15:49:15;1642175355760;2;14/01/2022 17:49:15;55551;24;questionnaire-otb8;;18515230;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Randomness and probability (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Sairaalassa B (jossa syntyy 10 lasta päivässä).;;2;Pyydys 1;Pyydys 2;;;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;178326
1;1642268306391;15/01/2022 17:38:26;1642268308231;2;15/01/2022 19:38:28;55551;24;questionnaire-otb8;;18537297;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Randomness and probability (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Sairaalassa B (jossa syntyy 10 lasta päivässä).;;2;Pyydys 1;Pyydys 2;Pyydys 3;Pyydys 4;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;174068
1;1642268406394;15/01/2022 17:40:06;1642268406319;2;15/01/2022 19:40:06;55551;24;questionnaire-otb8;;18537309;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1192x664;Openminded Chunk;Randomness and probability (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Sairaalassa B (jossa syntyy 10 lasta päivässä).;;2;Pyydys 1;Pyydys 2;;;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;128030
1;1642274391530;15/01/2022 19:19:51;1642274388696;2;15/01/2022 21:19:48;55551;24;questionnaire-otb8;;18538399;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Randomness and probability (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Tämä on yhtä todennäköistä kummassakin sairaalassa.;;3;Pyydys 1;Pyydys 2;Pyydys 3;Pyydys 4;Pyydys 5;Pyydys 6;Pyydys 7;Pyydys 8;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;161783
1;1642280177369;15/01/2022 20:56:17;1642280176115;2;15/01/2022 22:56:16;55551;24;questionnaire-otb8;;18539384;BLIND;5487301;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x657;Decision Chunk;Randomness and probability (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;;;;No;Tämä on yhtä todennäköistä kummassakin sairaalassa.;;3;;;;;Pyydys 5;Pyydys 6;Pyydys 7;Pyydys 8;;;"Kanava 1; 2 tai 3";;4;Ruudukko C;;3;109983
1;1642327686634;16/01/2022 10:08:06;1642327687851;2;16/01/2022 12:08:07;55551;24;questionnaire-otb8;;18543054;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Randomness and probability (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Sairaalassa B (jossa syntyy 10 lasta päivässä).;;2;Pyydys 1;Pyydys 2;;;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;160268
1;1642328165076;16/01/2022 10:16:05;1642328164903;2;16/01/2022 12:16:04;55551;24;questionnaire-otb8;;18543159;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Randomness and probability (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Tämä on yhtä todennäköistä kummassakin sairaalassa.;;3;Pyydys 1;;;;;;;;;;Kanava 2;;5;Ruudukko B;;2;93775
1;1642430077215;17/01/2022 14:34:37;1642430076376;2;17/01/2022 16:34:36;55551;24;questionnaire-otb8;;18564094;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Randomness and probability (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Tämä on yhtä todennäköistä kummassakin sairaalassa.;;3;;;;;;;;;;;"Kanava 1; 2 tai 3";;4;"Ruudukot A; B ja C";;5;148761
