Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;hr-1;hr-1-text;hr-1-quantised;hr-2;hr-2-text;hr-2-quantised;hr-3-1;hr-3-2;hr-3-3;hr-4;hr-4-text;hr-4-quantised;hr-5;hr-5-text;hr-5-quantised;hr-6;hr-6-text;hr-6-quantised;END QUESTIONNAIRE
1;1634723920008;20/10/2021 09:58:40;1634723919874;3;20/10/2021 12:58:39;55551;22;questionnaire-79hv;;16530502;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Heuristic reasoning (Finnish);3;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;336451
1;1641026674832;01/01/2022 08:44:34;1641026675814;2;01/01/2022 10:44:35;55551;22;questionnaire-79hv;;18255214;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Heuristic reasoning (Finnish);3;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;67847
1;1641895685546;11/01/2022 10:08:05;1641895685339;2;11/01/2022 12:08:05;55551;22;questionnaire-79hv;;18420577;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Heuristic reasoning (Finnish);3;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;309940
1;1641842547753;10/01/2022 19:22:27;1641842547600;2;10/01/2022 21:22:27;55551;22;questionnaire-79hv;;18412663;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Heuristic reasoning (Finnish);3;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Lääkehoitoa;;1;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;371176
1;1641828645121;10/01/2022 15:30:45;1641828644993;2;10/01/2022 17:30:44;55551;22;questionnaire-79hv;;18405178;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Heuristic reasoning (Finnish);3;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;558215
1;1641822744153;10/01/2022 13:52:24;1641822744059;2;10/01/2022 15:52:24;55551;22;questionnaire-79hv;;18401713;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Heuristic reasoning (Finnish);3;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Tyttö;;2;174347
1;1641764911547;09/01/2022 21:48:31;1641764911411;2;09/01/2022 23:48:31;55551;22;questionnaire-79hv;;18391326;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Heuristic reasoning (Finnish);3;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;274638
1;1641763343233;09/01/2022 21:22:23;1641763343150;2;09/01/2022 23:22:23;55551;22;questionnaire-79hv;;18390910;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Heuristic reasoning (Finnish);3;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Lääkehoitoa;;1;Huomenna luultavasti sataa;;1;Tyttö;;2;368627
1;1641667218347;08/01/2022 18:40:18;1641667218205;2;08/01/2022 20:40:18;55551;22;questionnaire-79hv;;18375953;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Heuristic reasoning (Finnish);3;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;197337
1;1641564672149;07/01/2022 14:11:12;1641564670425;2;07/01/2022 16:11:10;55551;22;questionnaire-79hv;;18355252;BLIND;5435499;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1200;1504x952;Openminded Chunk;Heuristic reasoning (Finnish);3;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;198571
